seed_index,seed,missing_before,best_additional,missing_after,can_complete,num_best_rows,best_rows
1,0 0 0 0 1 0 1 1 1 0 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
2,0 0 0 0 1 1 0 1 1 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
3,0 0 0 1 0 0 1 1 1 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
4,0 0 0 1 0 1 0 1 1 0 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
5,0 0 0 1 0 1 1 1 0 1 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
6,0 0 0 1 0 1 1 1 1 0 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
7,0 0 0 1 1 0 1 1 0 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
8,0 0 0 1 1 0 1 1 1 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
9,0 0 1 0 0 0 1 0 1 1 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
10,0 0 1 0 0 1 0 1 0 1 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
11,0 0 1 0 0 1 1 1 0 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
12,0 0 1 0 0 1 1 1 1 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
13,0 0 1 0 1 0 1 1 0 1 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
14,0 0 1 0 1 0 1 1 1 0 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
15,0 0 1 0 1 1 1 0 1 1 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
16,0 0 1 0 1 1 1 1 0 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
17,0 0 1 1 0 1 1 0 1 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
18,0 0 1 1 0 1 1 1 0 1 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
19,0 0 1 1 1 0 1 0 1 0 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
20,0 0 1 1 1 1 0 1 0 0 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
21,0 1 0 0 0 0 1 1 0 1 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
22,0 1 0 0 0 1 0 0 1 1 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
23,0 1 0 0 0 1 0 1 1 1 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
24,0 1 0 0 0 1 1 0 1 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
25,0 1 0 0 1 0 0 1 1 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
26,0 1 0 0 1 0 1 0 1 1 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
27,0 1 0 0 1 1 1 0 1 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
28,0 1 0 0 1 1 1 1 0 1 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
29,0 1 0 1 0 0 0 1 1 0 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
30,0 1 0 1 0 0 1 0 0 1 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
31,0 1 0 1 0 1 1 0 1 1 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
32,0 1 0 1 0 1 1 1 0 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
33,0 1 0 1 1 0 1 1 0 0 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
34,0 1 0 1 1 1 0 0 1 0 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
35,0 1 0 1 1 1 0 1 1 0 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
36,0 1 0 1 1 1 1 0 0 1 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
37,0 1 1 0 0 0 0 1 0 1 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
38,0 1 1 0 0 0 1 0 1 0 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
39,0 1 1 0 1 0 1 0 0 0 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
40,0 1 1 0 1 1 0 0 0 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
41,0 1 1 0 1 1 0 1 0 1 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
42,0 1 1 0 1 1 1 0 1 0 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
43,0 1 1 1 0 0 1 0 0 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
44,0 1 1 1 0 1 0 0 0 0 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
45,0 1 1 1 0 1 0 1 0 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
46,0 1 1 1 0 1 1 0 0 0 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
47,0 1 1 1 1 0 0 1 0 0 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
48,0 1 1 1 1 0 1 0 0 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
49,1 0 0 0 0 1 0 1 1 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
50,1 0 0 0 0 1 1 0 1 1 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
51,1 0 0 0 1 0 0 1 1 1 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
52,1 0 0 0 1 0 1 0 1 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
53,1 0 0 0 1 0 1 1 1 1 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
54,1 0 0 0 1 1 0 1 1 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
55,1 0 0 1 0 0 0 1 0 1 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
56,1 0 0 1 0 0 1 0 1 0 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
57,1 0 0 1 0 0 1 1 1 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
58,1 0 0 1 0 1 0 1 1 1 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
59,1 0 0 1 1 1 0 1 0 1 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
60,1 0 0 1 1 1 1 0 1 0 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
61,1 0 1 0 0 0 0 1 1 0 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
62,1 0 1 0 0 0 1 0 0 1 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
63,1 0 1 0 0 0 1 1 0 1 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
64,1 0 1 0 0 1 0 0 1 1 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
65,1 0 1 0 1 0 0 0 1 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
66,1 0 1 0 1 0 0 1 0 0 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
67,1 0 1 0 1 1 0 1 1 0 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
68,1 0 1 0 1 1 1 0 0 1 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
69,1 0 1 1 0 0 0 0 1 0 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
70,1 0 1 1 0 0 0 1 0 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
71,1 0 1 1 0 1 0 1 0 0 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
72,1 0 1 1 0 1 1 0 0 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
73,1 0 1 1 1 0 0 1 0 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
74,1 0 1 1 1 0 1 0 0 0 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
75,1 0 1 1 1 0 1 1 0 0 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
76,1 0 1 1 1 1 0 0 1 0 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
77,1 1 0 0 0 0 1 0 1 1 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
78,1 1 0 0 0 1 0 1 0 1 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
79,1 1 0 0 1 0 0 0 1 0 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
80,1 1 0 0 1 0 0 1 0 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
81,1 1 0 1 0 0 0 0 1 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
82,1 1 0 1 0 0 0 1 0 0 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
83,1 1 0 1 0 1 0 0 0 1 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
84,1 1 0 1 0 1 0 0 1 0 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
85,1 1 0 1 1 0 0 0 0 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
86,1 1 0 1 1 0 0 0 1 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
87,1 1 0 1 1 0 1 0 1 0 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
88,1 1 0 1 1 1 0 1 0 0 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
89,1 1 1 0 0 1 0 0 0 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
90,1 1 1 0 0 1 0 0 1 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
91,1 1 1 0 1 0 0 0 0 1 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
92,1 1 1 0 1 0 0 0 1 0 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
93,1 1 1 0 1 0 1 0 0 1 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
94,1 1 1 0 1 1 0 0 0 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
95,1 1 1 1 0 0 1 0 0 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
96,1 1 1 1 0 1 0 0 0 1 0 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
